Rubin Line,DLM1,DLM2,DLM3,DLM4,DLM5,DLM6,Anterior DVM-A,Anterior DVM-B,Anterior DVM-C,Medial DVM-A,Medial DVM-B,Posterior DVM-A,Posterior DVM-B,basalare 1 (b1),basalare 2 (b2 or sb),basalare 3 (b3),First Pterale 1 (I1),First Pterale 2 (I2),Third Pterale 1 (III1),Third Pterale 3 (III3),"Third Pterale 2,4 (III2,4)",hg1 (posterior notal wing process),hg2 (posterior notal wing process),hg3 (posterior notal wing process),hg4 (posterior notal wing process),Ventral Tergopleural (v-Tp),Dorsal Tergopleural (d-Tp),pleurosternal 1 (ps1),Jump (tt)
10B03,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,2
11A09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14B02,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2
20G08,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,0,0,0,0,1,2,0,0,0,2,0,1,0,0,0,0,0,0,0,2
21F03,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,2,0,0,2,2
23H11,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33F10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,2,2,2,0,0,0,0,1,1
37E10,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,2
38D03,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
47F01,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
48F07 ,N/A,N/A,N/A,N/A,N/A,N/A,0,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,0,2,2
52H02,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,1
71F02,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
75F02,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,0,2,2,0,0,1,0,1,0,0,0,0,0,2
75F06,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
55D06,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95D06,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25C01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91D10,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29H04,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31E10,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10E11,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27G06,N/A,N/A,N/A,N/A,N/A,N/A,1,1,1,1,1,1,1,2,0,1,0,1,0,0,2,0,0,0,2,0,0,0,0
38H06,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39E01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64H12,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49G02,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16G01,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31A09,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
51E06,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
58G03,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0
60C09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
65H03,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67B08,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,2,1,0,1,0,0,1,1,0,0,0,0,2,2,0,1
67C01,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73A05,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
81A06,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81B11,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82E06,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
82E12,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
