,DLM,DVM,b1,b3,b2,i1,i2,iii1,iii24,iii3,hg1,hg2,hg3,hg4,tpv,tpd,ps,ttm,pr
22H05_01,1,1,3,3,3,3,3,3,2,3,3,3,3,3,2,2,1,2,3
22H05_02,1,1,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,2,3
22H05_03 – no cd,0,0,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,
10A12_01,0,0,3,3,3,3,3,3,0,2,3,3,2,3,2,2,2,2,3
10A12_02,0,0,2,3,3,3,3,3,0,2,3,3,3,3,2,2,2,2,3
,,,,,,,,,,,,,,,,,,,
74f03_01,0,0,3,3,3,3,3,3,0,3,3,3,2,3,0,0,3,2,3
74f03_02,0,0,3,3,3,3,3,3,0,3,2,3,0,2,0,0,3,2,3
74f03_02,0,0,3,3,3,3,3,3,0,3,2,3,0,2,0,0,3,2,3
,,,,,,,,,,,,,,,,,,,
75B06_01,0,0,3,3,3,3,3,3,0,3,3,2,3,3,0,0,3,0,3
75B06_02,0,0,2,3,3,3,3,3,0,3,3,2,0,2,0,0,0,0,3
,,,,,,,,,,,,,,,,,,,
29E05_01,0,0,3,2,2,2,0,2,0,2,2,3,0,2,0,0,2,0,2
,,,,,,,,,,,,,,,,,,,
31E10_01,1,1,2,3,3,3,2,3,0,3,3,3,0,0,0,0,2,2,0
31E10_02,1,1,2,3,3,3,2,3,0,3,3,3,0,0,0,0,2,2,0
,,,,,,,,,,,,,,,,,,,
39E01_01,0,0,3,3,3,1,0,3,0,3,3,3,0,3,0,0,3,0,3
39E01_02,0,0,3,3,3,1,0,3,0,3,3,3,0,3,0,0,3,0,3
39E01_02,0,0,3,3,3,1,0,3,0,3,3,3,0,3,0,0,3,0,3
