Bloomington ID,FlyranchAddress,GenotypeKey,Priority,Expression data,Comment1,Rational
40032,,GMR79C08,2,N,,Cesar Mendes leg driver
49514,,GMR30A09,2,N,,Cesar Mendes leg driver
50263,,GMR46D02,2,N,,Cesar Mendes leg driver
41329,,GMR9F09,2,N,,Cesar Mendes leg driver
38687,,GMR49E02,2,N,,Cesar Mendes leg driver
39327,,GMR64H12,,Y,X J-18,Cesar Mendes leg driver
39474,,GMR69A03,2,N,,Cesar Mendes leg driver
39854,,GMR74D08,,N,X J-219,Cesar Mendes leg driver
39884,,GMR75B10,2,N,,Cesar Mendes leg driver
39888,,GMR75C06,2,N,,Cesar Mendes leg driver
40347,,GMR83A06,2,N,,Cesar Mendes leg driver
40388,,GMR84D01,2,N,,Cesar Mendes leg driver
45484,,GMR23B03,2,N,,Cesar Mendes leg driver
47241,,GMR93H09,2,N,,Cesar Mendes leg driver
47286,,GMR95D12,,N,X J-64,Cesar Mendes leg driver
47519,,GMR27H05,,"Broad,bright",X J-235,Cesar Mendes leg driver
47714,,GMR67D05,2,N,,Cesar Mendes leg driver
48020,,GMR9B09,2,N,,Cesar Mendes leg driver
49411,,GMR65C04,2,N,,Cesar Mendes leg driver
49514,,GMR30A09,2,N,,Cesar Mendes leg driver
49907,,GMR35D04,2,N,,Cesar Mendes leg driver
50263,,GMR46D02,2,N,,Cesar Mendes leg driver
50300,,GMR47C12,2,N,,Cesar Mendes leg driver
,,86H08,-,Y,XX,Troy Shirangi suggestion
,,dsx-Gal4 (#4) (male),1,N,,Troy Shirangi suggestion
,,35G07,1,N,,Troy Shirangi suggestion
,,59H06,1,N,,Troy Shirangi suggestion
,,11B02,0,"maybe, Lots of non-specific",J-283,Troy Shirangi suggestion
,,42D02,0,"pr,iii24?,hg3?",J-232,Troy Shirangi suggestion
,,68D03,,N,,Troy Shirangi suggestion
,,58H10,,N,XX J-195,Troy Shirangi suggestion
,,38D02,0,"B1,b3,i1, iii3",J-242,Troy Shirangi suggestion
,,21H10,0,Very specific b1,J-241,Troy Shirangi suggestion
,,88F07,,N,,Troy Shirangi suggestion
,,29 E05,-,Y,XX J-149,Troy Shirangi suggestion
,,38H06,-,Y,XX J-229,Troy Shirangi suggestion
,,84G06,0,"B2,b1,hg1 hg4",J-240,Troy Shirangi suggestion
,,64H12,-,Y,XX J-18,Troy Shirangi suggestion
,,31 E10,-,Y,XX J-21,Troy Shirangi suggestion
,,39 E01,-,Y,XX J-23,Troy Shirangi suggestion
,,dsx-Gal4 (can13) (male),1,,,Troy Shirangi suggestion
,,dsx-Gal4 (can13) (female),1,,,Troy Shirangi suggestion
,,71D08,1,N,,Troy Shirangi suggestion
,,81 E05,0,Leg muscles?,J-231,Troy Shirangi suggestion
,,78B06,0,"B1,b3,hg4",J-239,Troy Shirangi suggestion
,,87B09,0,"B1,B3,iii3?",J-233,Troy Shirangi suggestion
,,27H05,0,N,J-235,Troy Shirangi suggestion
,,30C07,0,"B1 specific, bright",J-237,Troy Shirangi suggestion
,,40D04,-,Y,XX J-160,Troy Shirangi suggestion
,,29H04,-,Y,J-230,Troy Shirangi suggestion
,,10F02,0,broad-bright,J-236,Troy Shirangi suggestion
,,37A01,0,"B1, week",J-234,Troy Shirangi suggestion
,,38H06,-,Y,J-229,Troy Shirangi suggestion
,,65 E08,1,N,,Troy Shirangi suggestion
,,75B06,-,Y,J-03,Troy Shirangi suggestion
,,10 E11,-,Y,XX J-19,Troy Shirangi suggestion
